ag_gspphot_lower,ag_gspphot_upper,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_transits,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_sigma5d_max,azero_gspphot_lower,azero_gspphot_upper,b,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_quasar,classprob_dsc_combmod_star,dec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,dec_pseudocolour_corr,distance_gspphot_lower,distance_gspphot_upper,duplicated_source,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,ecl_lat,ecl_lon,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,has_epoch_rv,in_andromeda_survey,in_galaxy_candidates,in_qso_candidates,ipd_frac_multi_peak,ipd_frac_odd_win,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,l,libname_gspphot,logg_gspphot_lower,logg_gspphot_upper,matched_transits,matched_transits_removed,mh_gspphot_lower,mh_gspphot_upper,new_matched_transits,nu_eff_used_in_astrometry,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,parallax_pseudocolour_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_blended_transits,phot_bp_n_contaminated_transits,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_obs,pm,pmdec_pseudocolour_corr,pmra_pmdec_corr,pmra_pseudocolour_corr,pseudocolour,pseudocolour_error,ra_dec_corr,ra_error,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ra_pseudocolour_corr,ref_epoch,rv_amplitude_robust,rv_atm_param_origin,rv_chisq_pvalue,rv_expected_sig_to_noise,rv_method_used,rv_nb_deblended_transits,rv_nb_transits,rv_renormalised_gof,rvs_spec_sig_to_noise,rv_template_fe_h,rv_template_logg,rv_template_teff,rv_time_duration,rv_visibility_periods_used,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,solution_id,source_id,teff_gspphot_lower,teff_gspphot_upper,vbroad,vbroad_error,vbroad_nb_transits,visibility_periods_used,designation,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_variable_flag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,ruwe,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"null","null","255.13966","0","1.2660036e-15","-0.3621187","31","0","258","0","258","95","false","0.79838467","null","null","-5.8295719771515415","5.10554e-13","1.02555625e-13","0.99998397","0.23230855","-0.32375133","-0.73856115","0.45363483","-0.104647875","null","null","false","null","null","-1.323433692804036","84.06202724077988","null","null","null","false","false","false","false","0","0","0.056211453","178.1852","184.565003981055","null","null","null","33","0","null","null","18","null","1.3096837","0.17486493","0.16154714","-0.09293667","131.72375784412068","6.898107","19.095638","0","0","30","1.3218244","469.10178684245096","1.1268518","416.29413","258","0","488.34642727815776","9.191709","53.129017","1","0","30","4.779535","0.3683611","-0.7034113","-0.24218225","1.3964657","0.056323707","-0.45840713","0.28793457","869023170","0.17832917","0.2423206","-0.0799816","-0.13116136","2016","null","null","null","null","null","null","null","null","null","null","null","null","null","null","-27.883423","17.587051","-10.279026","27.737093","0.22863713","0.6603257","0.22933728","0.38384232","1636148068921376800","3403817725893508224","null","null","null","null","null","15","Gaia DR3 3403817725893508224","83.59623741260648","21.98394675961578","0.39585955061963873","0.30225584","1.4450779593975769","0.52474236","-4.555842610441036","0.2921953","19.0092","20.039381","18.026075","NOT_AVAILABLE","2.0133057","1.0301819","0.9831238","null","null","0.98259807","0","false","false","false","false","false","false","null","null","null","null","null","null","null"
"null","null","76.709114","1.5100793","1.3466971","1.7289436","7","1","62","0","63","3","false","12.62578","null","null","-5.816006686801866","null","null","null","3.284913","null","null","null","null","null","null","false","null","null","-1.3298096334962914","84.08132691692451","null","null","null","false","false","false","false","0","100","0.34003022","121.58576","184.5802123327618","null","null","null","7","1","null","null","6","null","null","null","null","null","null","null","null","null","null","0","null","269.27808075135766","2.959544","90.98634","54","2","null","null","null","null","null","0","null","null","null","null","null","null","-0.8083647","4.0789375","351206718","null","null","null","null","2016","null","null","null","null","null","null","null","null","null","null","null","null","null","null","-121.976425","21.20294","-6.880043","19.80422","0.13857758","0.8841717","0.20434049","0.58027804","1636148068921376800","3403817695828147072","null","null","null","null","null","5","Gaia DR3 3403817695828147072","83.61732864337472","21.97843191776735","null","null","null","null","null","null","19.611864","null","null","NOT_AVAILABLE","null","null","null","null","null","null","0","false","false","false","false","false","false","null","null","null","null","null","null","null"
"0.8396","0.9224","331.77814","0.17169313","2.162292","1.4782964","34","4","287","0","291","31","false","0.1429465","1.0343","1.132","-5.815870171244191","5.102057e-13","1.0212162e-13","0.99999017","0.055470426","-0.47753054","-0.818598","0.42015454","null","871.4562","958.496","false","0.4606","0.5057","-1.329656069881154","84.08139623970193","null","null","null","false","false","false","false","2","0","0.07483994","0.38273564","184.58011308819405","MARCS","4.6242","4.682","36","0","-1.2569","-1.0057","21","1.4679799","5.0438323","0.42741424","0.09884248","null","2599.5686270331285","15.18742","171.16591","31","0","31","1.3070855","5619.9634676182","3.9931164","1407.4128","287","0","4746.204543511587","12.409421","382.46783","30","0","30","1.5961154","null","-0.5518491","null","null","null","-0.57439166","0.06788661","97506585","0.33085728","0.5032106","-0.2934889","null","2016","null","null","null","null","null","null","null","null","null","null","null","null","null","null","-26.726307","13.371576","-12.299897","30.34986","0.3021748","0.603808","0.24243902","0.30019334","1636148068921376800","3403817691533744000","5699.393","5858.282","null","null","null","16","Gaia DR3 3403817691533744000","83.61739598107644","21.978588396534047","0.3761190100839925","0.07457009","-1.5870031554456483","0.09054774","0.17030919789521676","0.058424022","16.313034","16.801289","15.55703","NOT_AVAILABLE","1.2442589","0.48825455","0.75600433","null","null","1.0616828","0","true","false","false","false","true","true","5770.2573","4.6497","-1.1385","908.3294","1.0782","0.8766","0.4811"
"0.1483","0.3968","281.9035","0","0","-0.29841644","34","2","283","0","285","31","false","0.2773109","0.1892","0.5007","-5.819986722509944","5.1006806e-13","1.0209104e-13","0.9999932","0.10727198","-0.52625096","-0.8555706","0.5082321","null","853.1661","1119.883","false","0.0808","0.2158","-1.3232215138915084","84.07295824220293","null","null","null","false","false","false","false","0","0","0.048048794","178.36545","184.5702839534421","PHOENIX","4.7982","4.9225","36","0","-2.3867","-1.759","21","1.4720191","2.190141","0.46053457","0.0463999","null","792.3438424448393","14.22081","55.71721","1","0","35","1.2075638","1866.9075148515733","1.7502607","1066.6454","283","0","1462.066107891762","19.460464","75.13007","1","0","33","4.1847167","null","-0.6106778","null","null","null","-0.63280106","0.124998786","8941231","0.3212087","0.591336","-0.41084057","null","2016","null","null","null","null","null","null","null","null","null","null","null","null","null","null","-38.43118","13.610183","-14.112041","28.689","0.26833925","0.6202696","0.29598543","0.3050456","1636148068921376800","3403817691533770496","4746.5156","5018.6953","null","null","null","16","Gaia DR3 3403817691533770496","83.60800069437484","21.984643247067844","0.29676017910358987","0.13549821","4.174611932309083","0.16879036","0.2906360521940837","0.11164708","17.50956","18.091257","16.835478","NOT_AVAILABLE","1.2557793","0.58169746","0.6740818","null","null","0.9861773","0","true","false","false","false","true","true","4796.7524","4.8988","-2.2347","895.6979","0.2444","0.1919","0.1045"
"null","null","265.35208","0.41556093","0.12940234","0.76655823","28","1","241","0","242","95","false","1.633232","null","null","-5.816583315934746","1.7168448e-9","1.5614236e-10","0.99998474","0.6984893","-0.5845234","-0.87434715","0.4275375","0.15602154","null","null","false","null","null","-1.3230393536642713","84.07677819116884","null","null","null","false","false","false","false","0","0","0.08937417","169.46535","184.57203487929544","null","null","null","29","0","null","null","18","null","2.5010107","0.4353746","0.13545486","-0.31322744","73.73850302331135","8.594335","8.579897","1","0","25","1.5350779","183.7466029418694","0.9664117","190.13284","241","0","208.32685529208842","10.520579","19.801842","1","0","29","2.42068","0.0535749","-0.54570127","-0.18664697","1.303491","0.1210658","-0.6631856","0.76116866","1025691543","0.44669515","0.6174923","-0.41151392","-0.17903425","2016","null","null","null","null","null","null","null","null","null","null","null","null","null","null","-19.911139","12.171101","-8.855267","23.642141","0.4175419","0.64574015","0.31940648","0.277068","1636148068921376800","3403817695828145792","null","null","null","null","null","14","Gaia DR3 3403817695828145792","83.61210636391459","21.984994338924274","2.1096364709376663","0.8435136","-0.05821246527968266","0.9876282","-2.419979916205562","0.67401034","20.02682","20.669306","18.951033","NOT_AVAILABLE","1.7182732","0.6424866","1.0757866","null","null","1.0341315","0","false","false","false","false","false","false","null","null","null","null","null","null","null"
"null","null","240.90776","0","0","-1.8280923","32","0","276","0","276","31","false","0.5920078","null","null","-5.813675676142471","6.619447e-13","8.3340214e-13","0.99998903","0.24627148","-0.5135023","-0.8264543","0.3679598","null","null","null","false","null","null","-1.3264761977738655","84.08210254663925","null","null","null","false","false","false","false","0","0","0.046515644","169.57417","184.5776934867099","null","null","null","34","0","null","null","21","1.3039405","2.538963","0.44786334","0.13441135","null","108.962155295749","8.084447","13.477998","0","0","29","1.2141215","483.39651428048217","1.1983064","403.39975","273","0","477.9399500855083","10.35281","46.16524","0","0","31","7.1037183","null","-0.4675055","null","null","null","-0.5741827","0.29542667","617631336","0.36424777","0.52773964","-0.3089444","null","2016","null","null","null","null","null","null","null","null","null","null","null","null","null","null","-21.58757","13.619989","-8.686431","28.613182","0.31132177","0.6147472","0.22298229","0.30710915","1636148068921376800","3403817691533769728","null","null","null","null","null","16","Gaia DR3 3403817691533769728","83.61800503334635","21.981796387979255","0.8340243978505133","0.32849017","4.929772341884117","0.37581438","-5.11470035537449","0.25018638","18.976608","20.245354","18.049461","NOT_AVAILABLE","2.1958923","1.2687454","0.9271469","null","null","0.9213164","0","false","false","false","false","false","false","null","null","null","null","null","null","null"
"0.1755","0.4464","242.4059","0","0","-1.719638","32","1","276","0","277","31","false","0.44743708","0.2225","0.5586","-5.812481791764224","1.1872602e-10","1.021913e-13","0.99999726","0.16882147","-0.44179106","-0.9020311","0.65647227","null","1079.8308","1401.2415","false","0.096","0.2448","-1.3253110943911217","84.0828108344121","null","null","null","false","false","false","false","0","0","0.056790445","174.44536","184.57703166942662","MARCS","4.7871","4.9215","34","0","-2.7209","-2.1401","21","1.4763687","1.4595959","0.39896524","0.019279078","null","553.060291579735","12.099963","45.7076","31","0","31","1.2708575","1218.3414132093894","1.5459232","788.09955","273","0","995.2780198518362","12.234695","81.348816","32","0","32","0.86990166","null","-0.7227855","null","null","null","-0.75701356","0.19544768","353096449","0.3290549","0.7234884","-0.5839456","null","2016","null","null","null","null","null","null","null","null","null","null","null","null","null","null","-26.831846","16.006517","-8.389124","27.813631","0.25742754","0.64620405","0.23752767","0.3442196","1636148068921376800","3403817691533769600","4786.078","5128.654","null","null","null","15","Gaia DR3 3403817691533769600","83.6187123336527","21.98299166696022","0.2472016049714079","0.16936305","0.8620684390445028","0.25539893","0.11647724649774394","0.17361023","17.972944","18.481611","17.253035","NOT_AVAILABLE","1.2285767","0.508667","0.71990967","null","null","0.9258531","0","false","false","false","false","true","true","4957.4424","4.8577","-2.3958","1230.0537","0.4172","0.3315","0.1812"
"null","null","18492.582","5.6343966","396.43686","107.339554","31","16","257","0","273","3","false","2.236254","null","null","-5.803529072362449","0.00042678954","0.0001225553","0.998719","0.8382169","null","null","null","null","null","null","false","null","null","-1.3385471455425137","84.10072678794178","null","null","null","false","false","false","false","70","2","0.20427255","125.475136","184.59752928865544","null","null","null","35","0","null","null","35","null","null","null","null","null","669.2358027616644","11.073345","60.43664","1","0","25","2.0262651","982.257260866326","4.843736","202.78918","233","0","1321.0779099486647","14.804338","89.23586","3","0","29","null","null","null","null","null","null","-0.601719","1.170178","45856949","null","null","null","null","2016","null","null","null","null","null","null","null","null","null","null","null","null","null","null","-3.3345194","13.82639","1.3486792","20.866732","0.43216977","0.74460894","0.39971083","0.37108395","1636148068921376800","3403770691710326016","null","null","null","null","null","13","Gaia DR3 3403770691710326016","83.63863830857176","21.970559367181515","null","null","null","null","null","null","18.206804","18.274593","16.945574","NOT_AVAILABLE","1.3290195","0.06778908","1.2612305","null","null","null","0","false","false","false","false","false","false","null","null","null","null","null","null","null"
"0.1477","0.2764","297.291","0","2.2399445e-15","-1.5078912","39","4","327","0","331","31","false","0.23955253","0.1949","0.3626","-5.80035437835203","5.101297e-13","1.0212159e-13","0.99999017","0.09398386","-0.48210272","-0.85685444","0.37581283","null","645.5368","718.2208","false","0.0805","0.151","-1.3393390369928904","84.1048416975722","null","null","null","false","false","false","false","0","0","0.055918943","4.623479","184.60027679452398","MARCS","4.639","4.7409","41","0","-3.427","-2.939","26","1.4234246","4.1069283","0.4483783","0.1329689","null","781.0340896645212","8.177508","95.51003","2","0","35","1.2543013","1988.0599989564346","1.841007","1079.8763","319","0","1712.5920968006374","9.036025","189.52937","1","0","33","3.9636877","null","-0.50699234","null","null","null","-0.5926536","0.11867185","206729850","0.31501275","0.5186941","-0.36576796","null","2016","null","null","null","null","null","null","null","null","null","null","null","null","null","null","-10.73419","12.782917","-2.7004368","23.049227","0.38569525","0.67904973","0.28361055","0.3300595","1636148068921376800","3403770691709456512","4278.1816","4421.0503","null","null","null","16","Gaia DR3 3403770691709456512","83.64310756151633","21.96994953840163","0.5305231197215704","0.12917759","2.63679921635867","0.15330814","2.9594103193089123","0.0938604","17.441294","18.106867","16.663761","NOT_AVAILABLE","1.4431057","0.6655731","0.7775326","null","null","0.94015884","0","true","false","false","false","true","true","4330.343","4.6894","-3.2569","678.9636","0.2579","0.1957","0.1069"
"null","null","290.80154","0.601803","0.50185984","0.48141116","30","2","258","0","260","95","false","0.97076356","null","null","-5.81388672044959","5.1302067e-13","1.1852303e-13","0.99994314","0.4417006","-0.5701591","-0.82771796","0.16691528","0.13527334","null","null","false","null","null","-1.330755211507303","84.08431385263962","null","null","null","false","false","false","false","0","0","0.03684613","179.96976","184.58253008590904","null","null","null","31","0","null","null","20","null","1.4535445","0.41081727","0.25044194","-0.32133445","61.961301378607374","6.1690555","10.043888","0","0","28","1.4626113","266.10271271260086","1.0402573","255.8047","255","0","327.2435392191886","8.792495","37.21851","0","0","29","5.5048256","0.10843023","-0.35128063","-0.2619046","1.2134008","0.09421336","-0.5701273","0.5124178","272446","0.44381824","0.46745488","-0.20561641","-0.13226394","2016","null","null","null","null","null","null","null","null","null","null","null","null","null","null","-16.532452","13.921371","-5.4549084","23.105913","0.38892356","0.6604118","0.25165972","0.3402241","1636148068921376800","3403817695828146048","null","null","null","null","null","13","Gaia DR3 3403817695828146048","83.62059073138909","21.97761931376025","0.8667618364659648","0.5963091","0.29845815817245813","0.65237314","-5.496728937334916","0.41718194","19.624744","20.85824","18.460718","NOT_AVAILABLE","2.397522","1.2334957","1.1640263","null","null","1.0201883","0","false","false","false","false","false","false","null","null","null","null","null","null","null"
